influencerId,influencer_name,username,platform,followerCount,status,postId,text,likes,shares,reach,engagement_rate,predictedVirality,createdAt
69119ed75be9910587f8b4d8,Allison Hill,allison_hill,youtube,1169463,inactive,1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,Beautiful instead ahead despite measure ago current practice nation determine operation speak according south recently.,14094,4091,659633,2.757,0.002,2025-04-17 16:38:09.857594
69119ed75be9910587f8b4d8,Allison Hill,allison_hill,youtube,1169463,inactive,c37459ee-f50b-4a63-b71e-cd7b27cd8130,Bill here grow gas enough analysis least by two bad fall pick.,11503,2922,665319,2.168,0.313,2025-10-05 15:40:38.725999
69119ed75be9910587f8b4d8,Allison Hill,allison_hill,youtube,1169463,inactive,b45ed1f0-3139-432c-93cd-59bf5c941cf0,Animal direction eye bag do big everyone player.,2731,810,188735,1.876,0.117,2025-04-25 09:37:52.357735
69119ed75be9910587f8b4d8,Allison Hill,allison_hill,youtube,1169463,inactive,ab9099a4-35a2-40ae-9af3-05535ec42e08,Reduce raise author play move each left establish understand read detail.,4349,254,396327,1.161,0.3,2025-04-12 16:28:00.245971
69119ed75be9910587f8b4d8,Allison Hill,allison_hill,youtube,1169463,inactive,3aa2e4f9-0e51-430d-86a7-ee39c4b032cc,Source husband at tree note responsibility defense.,8048,1418,456008,2.076,0.363,2025-06-06 13:05:00.278640
69119ed75be9910587f8b4de,Maria Thomas,maria_thomas,youtube,1579137,prospect,8fb5d27b-beb7-4919-bf22-faf823bed01d,Enjoy once today human despite young meeting before another body physical society instead as high.,8125,1386,551829,1.724,0.377,2025-11-09 08:32:52.892969
69119ed75be9910587f8b4de,Maria Thomas,maria_thomas,youtube,1579137,prospect,8da0365b-f898-47b9-805c-acec877409a9,Quite boy those seem shoulder future fall.,8909,467,578209,1.622,0.87,2025-02-19 14:15:13.474035
69119ed75be9910587f8b4de,Maria Thomas,maria_thomas,youtube,1579137,prospect,e037e5ed-b8db-4672-b42d-47cc00d4af59,Will seven medical blood personal success medical current hear claim well.,4634,1002,309777,1.819,0.621,2025-10-17 05:59:48.306433
69119ed75be9910587f8b4de,Maria Thomas,maria_thomas,youtube,1579137,prospect,52fbe43b-9954-4eb4-8025-7ad1eb2263dd,Affect upon these story film around there water beat magazine attorney set she campaign.,6894,1722,382046,2.255,0.887,2025-05-30 00:51:01.972691
69119ed75be9910587f8b4de,Maria Thomas,maria_thomas,youtube,1579137,prospect,8715a103-43da-4043-aa45-c2ab8cbfedb0,Institution deep much role cut find yet practice just military building different full open discover detail.,9880,2760,602041,2.1,0.847,2025-01-23 06:16:31.257621
69119ed75be9910587f8b4de,Maria Thomas,maria_thomas,youtube,1579137,prospect,114125c6-3a9b-4dd4-8f12-59e0a18ff6b6,Teacher audience draw protect Democrat car very.,4875,966,566644,1.031,0.745,2025-06-29 01:31:14.088638
69119ed75be9910587f8b4de,Maria Thomas,maria_thomas,youtube,1579137,prospect,7914c120-c8dc-419f-be35-11287900f7f9,Couple best issue interest level rock pull worker better I fund technology eat.,10170,845,582324,1.892,0.048,2025-03-01 15:27:44.524522
69119ed75be9910587f8b4de,Maria Thomas,maria_thomas,youtube,1579137,prospect,2ef91276-6c00-4f61-a3e2-fcb472d8567d,Leg themselves away space task better present music address behavior send.,9717,731,707576,1.477,0.125,2025-03-16 02:55:48.222703
